EventName,EventDateTime,Magnitude,EQ_WGS84_Lon,EQ_WGS84_Lat,Depth,WGS84_Lon,WGS84_Lat,PGA,PGV,Intensity
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.905,0.55,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.93,0.58,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.955,0.62,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,22.98,0.65,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.005,0.68,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.03,0.71,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.055,0.74,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.08,0.76,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.105,0.78,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.13,0.8,0.1,1
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.155,0.81,0.1,1
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.18,0.82,0.1,1
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.205,0.83,0.1,1
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.23,0.83,0.1,1
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.255,0.82,0.1,1
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.28,0.82,0.1,1
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.305,0.81,0.1,1
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.33,0.79,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.355,0.78,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.38,0.77,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.405,0.75,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.43,0.73,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.455,0.72,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.48,0.71,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.505,0.69,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.53,0.68,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.555,0.68,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.58,0.67,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.605,0.66,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.63,0.66,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.655,0.66,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.68,0.65,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.705,0.65,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.73,0.65,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.755,0.65,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.78,0.66,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.805,0.66,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.83,0.66,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.855,0.67,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.88,0.67,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.905,0.67,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.93,0.67,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.955,0.68,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.31,23.98,0.68,0.1,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.335,22.53,0,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.335,22.555,0.02,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.335,22.58,0.05,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.335,22.605,0.09,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.335,22.63,0.12,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.335,22.655,0.16,0,0
台東東河地震,2022-03-28T17:00:00,4.6,121.31,23.11,11.3,120.335,22.68,0.2,0,0
