"MD_","type","ID","fname","圖徵NO","HYD類別","DataName","geometry","buildtime","releasetime","MataData_URL","MataData_XML","URL_data"
18,"KML","MD_ID=18&type=KML","gwobwell_a",,,"地下水觀測井位置圖_已廢站","點","2020/11/16","2021/01/19","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=18&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=18&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=gwobwell_a&filetype=KML"
19,"KML","MD_ID=19&type=KML","LASUBSTA",,,"地層下陷GPS監測站","點","2021/06/10","2021/07/02","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=19&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=19&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=LASUBSTA&filetype=KML"
20,"KML","MD_ID=20&type=KML","SWWRB",,,"地層下陷水準高程檢測點","點"," 2021/07/01","2021/07/07","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=20&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=20&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=SWWRB&filetype=KML"
21,"KML","MD_ID=21&type=KML","subasta",,,"磁環分層式地層下陷監測井","點"," 2021/07/01","2021/07/07","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=21&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=21&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=subasta&filetype=KML"
22,"KML","MD_ID=22&type=KML","TW9091",,,"平均下陷速率圖_2001至2002","線","2016/03/31","2016/10/06","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=22&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=22&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=TW9091&filetype=KML"
23,"KML","MD_ID=23&type=KML","TW9192",,,"平均下陷速率圖_2002至2003","線","2016/03/31","2016/10/06","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=23&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=23&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=TW9192&filetype=KML"
24,"KML","MD_ID=24&type=KML","TW9293",,,"平均下陷速率圖_2003至2004","線","2016/03/31","2016/10/06","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=24&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=24&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=TW9293&filetype=KML"
25,"KML","MD_ID=25&type=KML","TW9394",,,"平均下陷速率圖_2004至2005","線","2016/03/31","2016/10/06","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=25&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=25&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=TW9394&filetype=KML"
26,"KML","MD_ID=26&type=KML","TW9495",,,"平均下陷速率圖_2005至2006","線","2016/03/31","2016/10/06","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=26&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=26&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=TW9495&filetype=KML"
27,"KML","MD_ID=27&type=KML","TW9596",,,"平均下陷速率圖_2006至2007","線","2016/03/31","2016/10/06","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowDetail.aspx?MD_ID=27&type=KML","https://gic.wra.gov.tw/Gis/Gic/DataIndex/MetaData/ShowXML.aspx?MD_ID=27&type=KML","https://gic.wra.gov.tw/Gis/gic/API/Google/DownLoad.aspx?fname=TW9596&filetype=KML"
