"id","name_id","name","time","city","level","level_web","longitude","latitude","created_at","updated_at"
2478019,174,"基隆廟口夜市周邊","2020-05-05 09:20:00","基隆市","G","正常","121.74330000","25.12993000",NA,NA
2478020,175,"東平夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.71920000","24.13386000",NA,NA
2478021,176,"鳳山中華夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.35750000","22.62477000",NA,NA
2478022,177,"安西夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.16940000","23.16572000",NA,NA
2478023,178,"龍潭觀光夜市周邊","2020-05-05 09:20:00","桃園市","G","正常","121.21240000","24.88337000",NA,NA
2478024,179,"興中觀光夜市周邊","2020-05-05 09:20:00","高雄市","G","正常","120.30890000","22.61554000",NA,NA
2478025,180,"廟東夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.71890000","24.25124000",NA,NA
2478026,181,"板橋湳雅觀光夜市周邊","2020-05-05 09:20:00","新北市","G","正常","121.45530000","25.00471000",NA,NA
2478027,182,"小北成功夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.20940000","23.01241000",NA,NA
2478028,183,"大東夜市周邊","2020-05-05 09:20:00","臺南市","G","正常","120.21930000","22.98085000",NA,NA
2478029,184,"墾丁海水浴場周邊","2020-05-05 09:20:00","屏東縣","G","正常","120.78660000","21.94403000",NA,NA
2478030,185,"墾丁海水浴場周邊","2020-05-05 09:20:00","屏東縣","G","正常","120.79140000","21.94404000",NA,NA
2478031,188,"墾丁大街周邊","2020-05-05 09:20:00","屏東縣","G","正常","120.80590000","21.94406000",NA,NA
2478032,189,"墾丁大街周邊","2020-05-05 09:20:00","屏東縣","G","正常","120.80600000","21.93954000",NA,NA
2478033,190,"深坑老街周邊","2020-05-05 09:20:00","新北市","G","正常","121.61880000","25.00412000",NA,NA
2478034,191,"鶯歌老街周邊","2020-05-05 09:20:00","新北市","G","正常","121.35110000","24.95082000",NA,NA
2478035,192,"鶯歌老街周邊","2020-05-05 09:20:00","新北市","G","正常","121.34620000","24.95083000",NA,NA
2478036,193,"一中街商圈周邊","2020-05-05 09:20:00","臺中市","G","正常","120.68470000","24.14733000",NA,NA
2478037,194,"逢甲夜市周邊","2020-05-05 09:20:00","臺中市","G","正常","120.64520000","24.17433000",NA,NA
2478038,195,"安平漁港周邊","2020-05-05 09:20:00","臺南市","G","正常","120.15090000","22.99856000",NA,NA
2478039,197,"安平漁港周邊","2020-05-05 09:20:00","臺南市","G","正常","120.14610000","22.98951000",NA,NA
2478040,200,"太平風景區周邊","2020-05-05 09:20:00","嘉義縣","G","正常","120.60280000","23.56473000",NA,NA
2478041,202,"奮起湖老街周邊","2020-05-05 09:20:00","嘉義縣","G","正常","120.69600000","23.50173000",NA,NA
2478042,203,"國立傳統藝術中心周邊","2020-05-05 09:20:00","宜蘭縣","G","正常","121.82470000","24.68714000",NA,NA
2478043,205,"雲仙樂園周邊","2020-05-05 09:20:00","新北市","G","正常","121.54870000","24.84640000",NA,NA
2478044,206,"雲仙樂園周邊","2020-05-05 09:20:00","新北市","G","正常","121.55360000","24.84638000",NA,NA
2478045,207,"野柳海洋世界周邊","2020-05-05 09:20:00","新北市","G","正常","121.68920000","25.20242000",NA,NA
2478046,208,"綠舞莊園日式主題遊樂區周邊","2020-05-05 09:20:00","宜蘭縣","G","正常","121.81990000","24.70522000",NA,NA
2478047,209,"六福村主題樂園周邊","2020-05-05 09:20:00","新竹縣","G","正常","121.18260000","24.82021000",NA,NA
